src_ip,dest_ip,src_port,dest_port,protocol,duration,packet_count,byte_count,is_malicious
106.240.200.163,118.44.142.234,25125,62966,TCP,8.73,638,23504,0
223.94.186.118,244.198.41.75,29209,14458,UDP,12.89,704,97943,1
155.191.92.203,106.92.228.226,32915,47137,UDP,18.88,115,94101,0
75.50.91.154,55.96.48.80,58683,13276,TCP,51.48,296,23261,0
160.94.172.49,195.13.247.233,10547,1267,UDP,5.87,825,10915,1
157.79.75.108,154.78.200.79,34051,23590,UDP,25.46,408,61562,0
48.60.102.184,106.154.247.125,62353,41523,ICMP,33.23,593,6376,1
133.27.64.194,191.164.200.249,63071,28065,ICMP,4.65,910,48360,0
4.80.62.68,145.186.181.251,52042,30544,UDP,38.69,278,64026,1
127.204.56.180,45.244.220.40,23330,64503,ICMP,34.56,422,9295,1
141.74.95.236,231.231.138.166,58716,10084,UDP,4.07,27,69208,1
219.115.177.98,81.90.63.45,20180,3857,ICMP,28.82,704,77782,1
100.209.154.16,77.15.127.59,30842,40233,UDP,56.96,50,58515,0
41.55.26.77,158.40.123.121,13116,46116,TCP,27.41,776,15428,0
45.152.152.174,201.88.40.125,18874,42508,TCP,1.4,920,93818,0
83.163.70.191,169.125.183.10,50959,35078,TCP,22.23,740,36487,0
82.45.124.142,25.13.112.208,21289,21798,UDP,59.05,840,42172,1
119.74.229.172,242.5.87.5,53901,44144,UDP,39.91,562,23658,1
253.45.220.214,191.145.204.45,48236,31910,ICMP,39.85,852,49631,0
123.105.201.105,95.183.3.126,48761,19181,TCP,26.84,187,14357,1
169.147.86.56,152.205.12.162,17075,5244,ICMP,12.83,745,26158,1
208.46.210.189,108.185.102.50,17871,23727,ICMP,39.77,726,88230,0
200.145.59.75,232.169.223.125,37034,51919,ICMP,46.77,319,63214,1
229.114.110.7,76.171.40.210,51853,36204,UDP,33.26,610,53331,0
62.93.109.72,33.4.254.85,20229,45425,ICMP,2.91,816,95569,0
42.156.87.160,73.219.75.101,24479,24564,ICMP,6.74,899,17818,0
147.129.174.200,239.220.240.173,28533,4989,UDP,43.71,784,11625,1
132.185.175.25,143.190.129.3,6277,28423,UDP,42.88,521,79616,0
192.190.7.53,55.88.23.27,7120,32405,ICMP,4.85,810,74568,0
201.13.176.60,157.99.115.15,33946,14552,TCP,47.26,700,48923,0
51.51.19.146,110.55.248.143,22551,46188,TCP,6.83,346,72023,0
107.220.98.95,165.179.26.216,25391,7194,ICMP,19.7,727,75280,0
190.25.165.130,178.53.251.250,25478,55989,ICMP,16.67,506,35804,0
121.202.185.60,189.142.195.35,42433,55855,ICMP,44.6,605,28327,0
146.199.38.94,64.176.16.140,17819,3643,TCP,16.43,836,41064,0
187.71.105.6,46.8.23.79,34862,15583,TCP,7.69,215,54337,1
79.30.150.232,180.251.64.69,51973,13636,UDP,57.28,11,5934,0
134.155.102.38,63.25.184.147,1176,16243,ICMP,35.36,475,24912,0
194.22.18.20,223.198.96.75,49705,40494,ICMP,24.27,218,72002,0
91.103.205.230,52.28.97.237,20683,46133,TCP,8.15,12,18448,0
55.22.159.119,20.163.205.102,38206,36027,TCP,31.85,410,20651,1
167.40.56.191,95.113.67.227,16801,55899,ICMP,34.82,912,55293,0
106.159.68.29,51.229.99.171,11605,10388,UDP,28.95,400,84083,0
10.10.197.232,12.131.33.72,21943,27435,UDP,12.44,172,2064,0
18.209.136.60,145.202.203.123,20686,3957,TCP,27.37,504,78278,0
19.124.95.138,162.117.225.230,14624,25936,TCP,35.33,252,81624,1
103.64.141.135,80.186.168.202,25766,51267,ICMP,22.28,301,61636,0
25.59.205.76,19.124.4.30,52338,28842,ICMP,9.7,41,46497,1
11.102.238.182,150.154.108.227,15476,55730,ICMP,48.57,845,7222,0
155.77.249.190,65.211.99.191,11792,26946,TCP,12.17,977,17112,1
194.34.55.176,17.77.111.87,20920,58225,ICMP,43.52,993,87534,0
220.24.247.33,22.156.136.197,20241,2180,ICMP,6.05,426,60541,1
66.176.198.170,185.140.73.219,64652,29912,ICMP,38.67,294,30111,0
15.200.198.234,138.201.36.66,12430,21175,TCP,25.39,742,91914,1
141.81.40.76,51.2.21.81,25243,32470,TCP,45.49,241,4792,0
46.197.250.181,170.124.235.194,36119,48296,UDP,40.65,441,39875,0
56.26.252.117,38.55.179.22,17821,22689,TCP,19.42,283,82150,0
13.166.96.98,4.10.60.119,51214,38175,UDP,27.92,386,64688,0
106.41.68.129,30.123.183.120,30590,65458,TCP,10.25,732,35763,0
4.206.219.214,125.244.31.63,27006,25324,UDP,20.59,132,27665,0
54.25.14.221,155.182.184.27,10639,39422,UDP,9.24,434,94002,1
27.232.23.42,106.219.81.218,856,43966,ICMP,15.63,679,44181,1
141.248.233.16,132.158.106.128,36635,1101,TCP,17.32,530,13401,0
242.2.228.237,210.195.16.146,28641,49473,ICMP,30.72,578,72755,1
211.210.22.69,248.202.139.136,58294,56703,UDP,41.32,666,91747,0
10.30.163.168,166.185.250.255,62260,46601,ICMP,23.85,967,80894,0
26.131.66.14,93.134.255.239,8211,34391,ICMP,17.96,304,88329,1
53.114.206.103,34.21.106.108,25944,4323,TCP,51.91,870,3822,1
63.162.115.34,112.8.9.241,55372,8621,ICMP,50.06,312,57836,1
149.108.56.232,52.92.148.53,53559,4380,ICMP,29.59,440,74914,0
121.218.89.35,185.214.123.33,32813,30499,TCP,19.76,893,56613,1
57.9.145.148,250.15.30.208,17465,59082,TCP,4.59,297,85022,1
106.24.160.61,105.152.183.239,53765,63182,ICMP,55.86,612,30232,1
183.75.64.14,76.212.15.123,28385,63748,ICMP,39.66,67,53261,1
164.239.170.54,114.142.38.9,9051,64677,ICMP,8.8,243,37754,1
238.222.213.213,90.166.194.133,45016,2805,TCP,2.42,184,24904,0
131.154.219.53,76.112.53.141,54876,42396,TCP,52.09,439,30658,0
172.186.109.217,112.240.116.58,19364,54915,UDP,47.91,998,78729,0
172.23.44.222,178.139.254.118,49061,48792,UDP,58.46,496,15349,1
173.65.121.188,213.86.241.125,60725,43143,ICMP,52.95,482,63009,0
14.126.132.252,48.57.207.18,796,11613,TCP,32.9,313,1470,0
156.140.35.66,132.224.32.191,60835,15233,ICMP,49.56,534,84684,0
129.65.167.165,139.15.205.197,8271,37116,TCP,38.87,853,14828,0
15.207.193.142,12.41.222.19,37766,24296,TCP,10.93,255,88395,0
33.212.10.184,194.65.33.252,50843,26699,ICMP,22.93,686,409,1
125.69.173.18,154.253.140.43,31497,56711,UDP,18.21,70,46499,0
200.121.206.135,50.193.249.131,57291,29535,ICMP,15.44,27,34224,1
132.117.110.148,207.114.120.255,6689,46328,UDP,17.06,44,30630,1
63.81.208.185,123.108.217.234,54214,25092,TCP,28.62,545,51075,0
254.208.92.26,146.187.215.141,52004,8083,UDP,37.97,52,2063,0
42.4.42.122,100.118.186.160,37478,30747,UDP,41.22,237,14837,0
208.159.160.201,228.21.106.70,62340,8738,TCP,52.56,451,61337,0
44.84.57.173,171.89.144.48,1317,55015,ICMP,48.4,59,63721,0
18.153.106.196,8.141.12.161,20935,24274,ICMP,54.35,299,63243,1
193.209.169.145,136.78.98.125,61714,31230,TCP,28.06,203,34615,1
247.119.137.200,192.197.196.152,59912,52072,UDP,46.79,724,97797,0
176.39.164.132,252.250.197.199,56591,50263,UDP,28.53,93,67564,0
246.244.159.53,188.17.42.23,52822,41573,TCP,5.26,9,5810,1
218.36.191.125,179.239.173.114,28289,14090,TCP,51.32,803,11467,1
145.208.13.228,176.59.232.120,19803,8732,ICMP,46.49,835,50341,0
83.193.88.156,116.46.135.186,57768,10195,TCP,40.28,736,80938,1
118.191.163.94,166.238.77.120,63460,63162,TCP,19.15,309,76215,1
176.233.138.30,217.62.39.40,14428,4228,UDP,45.91,311,27413,0
146.227.74.53,50.47.154.43,44423,61661,TCP,53.88,759,29315,0
136.219.177.204,44.180.135.6,64896,5411,TCP,43.24,479,8888,0
75.210.110.77,44.206.154.22,9301,13815,UDP,18.72,19,24110,0
138.154.184.102,65.172.77.115,41967,10393,UDP,43.47,211,4684,1
149.250.30.121,189.225.224.125,7610,46975,ICMP,18.22,985,82623,1
166.154.215.170,47.110.170.131,30302,11840,UDP,19.28,816,18704,0
175.28.127.19,64.93.71.26,30684,27017,TCP,26.19,984,38642,1
75.145.87.253,29.160.220.220,2891,50922,ICMP,48.34,28,25942,1
174.209.34.250,83.97.142.144,29420,50338,ICMP,42.77,417,21948,0
213.58.56.239,242.109.200.82,17283,47433,ICMP,37.43,115,4622,1
48.215.122.25,77.228.199.6,2260,6847,ICMP,22.21,859,40980,0
100.77.206.226,88.219.120.71,4771,10068,UDP,41.32,596,14483,0
48.171.91.232,37.175.5.182,12565,59464,ICMP,0.61,582,69439,0
69.53.50.37,34.94.15.19,6541,48248,TCP,4.92,587,86542,1
190.110.156.101,8.224.71.11,47085,55023,TCP,35.01,302,51565,0
114.203.8.117,157.127.81.37,2545,49117,ICMP,31.93,734,68236,1
184.106.228.186,248.165.94.254,891,52894,UDP,44.31,402,49468,0
35.128.180.253,126.231.185.244,9652,62770,UDP,6.1,71,89262,1
65.157.240.156,171.95.81.189,16760,26253,ICMP,58.22,690,27323,0
238.226.217.104,143.139.18.75,21627,22603,UDP,22.67,336,52338,1
28.202.25.1,198.122.22.225,18301,42828,ICMP,44.2,308,16390,1
253.2.215.120,208.113.241.221,21321,29429,TCP,27.61,859,31822,0
7.80.55.230,224.209.61.50,873,29565,TCP,37.31,490,72954,0
161.46.36.142,201.89.107.137,19501,57458,ICMP,23.85,104,22187,1
136.50.237.35,200.215.14.170,2748,35914,ICMP,3.86,374,30902,0
26.175.19.119,97.42.15.175,52242,53851,UDP,52.15,201,3341,1
220.157.202.241,42.116.74.177,56916,20004,TCP,56.71,959,33759,0
7.240.176.161,13.177.52.217,47012,30967,UDP,5.45,836,65163,0
132.51.8.192,62.163.138.131,39738,10656,TCP,9.34,506,41598,0
232.149.236.163,225.65.232.53,20437,53660,UDP,51.93,653,6369,0
72.252.9.224,15.234.12.53,46427,29404,TCP,26.07,475,92314,0
86.84.210.128,168.233.126.19,6956,63918,TCP,36.24,844,59958,0
92.242.42.58,179.123.225.74,38489,27193,UDP,36.47,57,86910,1
147.65.54.113,45.125.67.249,28642,10662,UDP,7.35,274,23567,1
68.164.72.191,234.126.38.120,60475,22449,TCP,52.66,603,33057,1
19.208.221.197,123.79.198.205,46247,19916,ICMP,22.28,93,89242,0
77.39.75.190,232.151.247.143,48561,4559,TCP,21.53,501,40248,1
176.17.46.92,165.73.144.37,63214,56816,TCP,25.63,342,38128,0
77.129.203.251,20.45.11.162,39241,37180,UDP,11.65,487,30384,0
185.148.120.188,200.141.225.209,26618,25211,UDP,5.87,166,67921,0
10.165.232.27,162.157.185.135,43744,62909,UDP,46.85,497,39263,0
9.38.145.51,146.237.116.142,10336,15352,UDP,52.42,138,88839,1
155.221.129.176,133.50.59.142,42144,29729,UDP,2.85,513,26116,1
10.142.244.235,174.80.175.194,20569,13886,TCP,58.26,779,92663,1
90.209.216.50,198.182.16.100,13806,38076,ICMP,0.66,576,37990,0
188.254.51.107,70.135.199.132,60054,55423,ICMP,50.43,45,56299,1
153.157.229.5,42.2.76.188,19152,5527,TCP,56.83,912,61029,1
242.195.10.216,56.30.169.146,62971,13706,UDP,59.62,861,40415,0
112.15.206.28,165.161.88.26,21663,23537,TCP,21.9,924,80513,0
221.156.49.69,82.57.212.239,54735,60009,UDP,33.54,425,6422,1
219.178.105.228,219.26.240.68,45861,15852,ICMP,13.3,85,9702,0
142.209.105.24,151.197.250.74,33774,60730,ICMP,19.33,327,41601,0
125.45.246.126,7.228.22.173,19879,22974,TCP,9.5,322,18842,0
235.209.21.47,95.142.9.167,781,54578,ICMP,20.96,950,92191,0
225.95.242.100,189.100.64.196,48428,54475,ICMP,54.95,839,42145,0
127.156.132.95,86.52.82.226,27629,24240,UDP,58.99,294,79477,0
121.58.15.250,34.190.94.36,21329,52012,TCP,51.48,16,28117,0
211.243.7.253,198.107.117.47,16770,51838,UDP,27.76,113,65178,1
140.69.176.66,113.142.155.79,52522,23213,TCP,38.07,81,96581,0
152.183.7.173,220.6.15.128,27405,26221,ICMP,43.86,990,34593,1
140.107.140.52,254.250.137.225,34257,835,TCP,27.33,989,77020,1
163.194.149.219,158.77.130.47,12284,20970,ICMP,37.86,901,18631,1
94.99.220.75,174.131.248.176,52675,19795,ICMP,14.65,303,21145,0
219.154.169.123,232.61.54.144,35736,51789,ICMP,49.05,393,67293,0
1.107.15.235,121.56.139.114,38166,46044,UDP,25.88,209,15634,1
178.230.118.52,61.28.201.95,64394,25174,ICMP,21.8,763,28794,0
253.109.176.212,164.5.33.145,51558,13859,ICMP,42.72,841,84199,0
193.59.23.21,152.26.77.53,13060,40164,TCP,49.51,515,74579,0
112.135.198.34,158.175.235.241,37732,63964,TCP,39.67,941,4992,0
232.104.130.228,139.1.137.247,15427,14719,ICMP,10.87,184,1895,0
150.33.35.145,171.188.196.213,694,28461,TCP,6.0,398,83216,1
254.100.230.139,79.72.247.78,18047,39305,UDP,30.07,158,98556,1
252.83.80.109,4.52.172.71,61304,29360,TCP,23.13,868,99186,0
119.69.155.76,91.227.137.196,45222,35331,UDP,30.82,106,13438,1
254.194.150.151,22.50.5.14,15773,14302,TCP,15.96,248,72534,0
54.148.246.34,93.189.149.243,33092,62961,ICMP,49.93,480,5757,0
242.171.64.51,4.137.219.15,41481,55771,TCP,36.55,121,93467,1
23.254.144.92,172.197.91.207,35764,41433,ICMP,15.15,659,66584,0
139.95.147.133,137.222.196.220,31646,30817,UDP,46.71,759,15326,0
148.96.19.99,255.137.96.64,57833,53892,TCP,58.23,381,10282,0
37.30.49.236,66.7.112.41,14962,59810,UDP,54.9,243,25526,0
66.200.114.76,40.113.117.208,46500,44346,UDP,6.24,368,47137,1
210.45.223.48,199.65.24.42,64811,16420,UDP,51.15,373,19817,1
172.223.241.236,109.85.29.68,33478,34444,TCP,57.7,622,1017,0
43.103.150.232,131.43.50.143,25634,30600,UDP,11.23,315,21316,0
3.3.9.183,188.113.16.65,60584,12393,TCP,32.16,603,51821,0
85.31.158.17,173.217.45.183,29694,24502,UDP,2.16,191,71922,0
94.242.125.187,141.137.236.17,49086,835,UDP,56.66,520,30198,0
53.97.39.28,76.12.108.81,27919,57320,TCP,56.1,769,21190,0
121.129.71.48,135.26.119.27,63506,64407,ICMP,23.25,467,40863,0
212.176.55.47,150.95.210.105,34972,36426,TCP,6.22,136,60490,0
173.44.30.198,149.23.10.125,1022,31945,TCP,31.04,124,77101,1
193.186.99.68,255.87.188.28,61079,45644,UDP,25.35,683,3777,0
182.87.149.10,97.242.96.197,29905,46959,TCP,11.07,38,37173,1
146.9.171.162,193.49.236.233,12057,64929,ICMP,43.33,683,58886,1
93.175.246.231,103.131.8.255,55184,52334,UDP,21.56,156,46624,0
182.104.153.133,210.104.186.214,29072,37869,ICMP,7.59,537,27247,1
74.61.77.33,48.100.156.229,52949,37143,TCP,19.03,16,11724,1
237.17.108.31,206.115.173.110,3376,2142,ICMP,48.98,501,6058,1
160.139.39.132,180.142.126.86,38501,31337,TCP,48.34,520,40737,1
200.119.154.5,245.5.212.223,24673,9158,UDP,11.3,518,9185,0
35.254.10.133,224.115.224.139,22329,60049,ICMP,1.17,283,22336,0
158.130.140.171,134.77.132.135,15660,12606,UDP,15.35,52,93592,0
51.50.250.253,173.42.197.173,59036,18224,ICMP,6.7,601,58933,0
235.60.13.133,131.34.218.55,19635,56191,ICMP,42.06,390,61724,0
116.238.247.131,31.181.139.93,38637,8327,ICMP,18.87,579,51653,1
37.150.255.221,179.38.5.175,1883,54436,ICMP,13.94,165,77835,1
122.225.37.155,147.58.233.6,42452,64324,ICMP,5.12,697,12682,1
146.63.133.120,249.138.150.129,56687,6801,TCP,44.99,429,1218,0
46.178.118.242,158.23.166.86,11953,14504,TCP,52.89,144,14007,1
3.198.117.60,61.74.13.166,18498,47627,TCP,56.36,9,53167,0
122.213.183.223,220.39.67.117,6150,901,TCP,32.46,666,64759,1
62.230.199.31,82.111.122.197,50884,52767,TCP,1.81,97,50329,1
182.101.7.83,34.65.26.82,44867,60254,UDP,58.67,37,17836,0
54.123.143.44,46.60.103.162,63370,39484,ICMP,0.12,912,17179,0
73.196.43.106,109.86.90.35,3901,48365,TCP,9.26,730,2023,1
104.114.117.235,56.75.224.188,8828,14786,TCP,18.97,447,653,1
35.164.12.165,14.113.254.85,51820,9064,TCP,22.48,558,87204,1
239.60.12.102,131.25.197.75,61535,44163,ICMP,12.73,706,73134,1
54.121.160.10,190.161.239.215,59948,56364,UDP,40.21,687,14951,1
36.251.243.153,84.94.186.148,4411,25761,TCP,9.22,616,55185,1
30.60.52.234,174.23.9.108,48863,48377,UDP,47.67,637,16392,0
183.27.5.46,101.140.112.238,7992,40351,TCP,50.83,686,41588,1
89.206.98.145,30.82.214.143,38795,38593,TCP,48.75,885,36931,0
26.128.180.69,218.210.106.165,5832,14603,ICMP,34.58,442,88890,1
181.145.112.194,121.37.37.88,973,54422,TCP,41.84,238,45871,0
254.137.20.26,57.106.134.205,35436,37215,ICMP,14.49,732,55623,0
125.180.224.20,20.35.166.200,43408,52019,UDP,49.2,181,45480,0
15.219.192.112,219.156.23.254,26118,9747,TCP,18.9,436,34260,0
203.224.80.167,232.36.154.49,20647,1930,UDP,20.84,453,13034,0
8.108.131.164,178.10.33.94,43314,43409,TCP,59.39,494,8784,0
86.248.58.57,215.9.99.39,5914,34721,ICMP,35.58,664,75776,0
226.142.76.204,71.81.66.195,43505,51192,TCP,45.73,118,44034,1
213.216.47.147,21.250.141.119,58018,63096,TCP,35.02,149,47008,1
188.110.45.60,132.191.222.98,30919,45596,TCP,7.62,768,38933,0
37.251.255.255,171.232.236.21,58439,45400,UDP,0.22,15,17274,0
205.147.99.203,159.113.187.218,21828,23035,UDP,6.03,157,18634,0
114.78.135.79,135.135.172.194,31932,10754,UDP,30.21,808,57708,1
242.178.75.140,1.205.198.254,38306,49692,TCP,22.7,931,33461,0
50.55.37.120,137.137.36.83,51505,39513,UDP,40.99,556,84207,0
86.52.242.73,91.146.103.174,28620,54327,ICMP,28.66,300,39348,0
37.187.224.33,30.108.17.202,60217,18357,TCP,57.02,596,99774,0
187.155.93.66,119.48.209.157,47933,34151,ICMP,47.32,599,1497,0
152.10.1.210,49.113.197.154,45643,862,UDP,8.89,414,89675,0
55.242.154.161,53.110.2.128,6618,8607,UDP,56.41,354,24387,0
217.148.79.148,109.63.152.123,57828,12052,UDP,3.15,65,31996,1
245.169.235.27,108.25.166.229,56533,65315,TCP,33.0,524,84729,0
31.195.97.66,58.197.210.150,4588,61684,TCP,57.37,400,23963,1
178.118.119.83,66.191.242.138,11916,47503,TCP,8.4,896,38649,0
241.251.165.121,60.114.246.230,23445,33006,UDP,52.13,559,47658,1
65.179.126.3,9.131.23.103,37533,41326,TCP,56.2,559,86823,1
177.216.35.44,86.133.201.72,64575,38954,TCP,28.66,98,23370,0
62.133.180.248,214.135.241.225,49264,29064,UDP,12.85,21,85621,0
153.31.195.38,117.172.168.159,52809,8927,ICMP,48.88,442,3783,0
180.155.1.169,64.171.186.155,47174,44931,TCP,0.36,372,80283,0
237.22.167.95,183.191.253.174,40738,32092,ICMP,22.24,155,75212,0
37.178.237.6,237.179.107.204,56993,59495,UDP,0.42,605,38348,0
14.121.112.167,11.59.55.186,44918,56716,TCP,12.85,540,38283,0
68.138.241.77,180.178.83.239,16337,36569,TCP,44.68,192,89810,0
186.111.67.70,255.67.35.93,4856,59126,ICMP,52.83,448,84089,0
73.27.61.137,197.107.241.195,28599,29345,ICMP,8.04,195,48608,0
51.225.106.161,27.90.106.106,64964,58190,TCP,39.19,431,29344,0
59.64.143.222,26.145.12.185,455,30650,ICMP,15.64,139,6442,0
221.4.49.178,74.208.150.229,58075,30310,TCP,2.62,165,4893,1
231.101.134.219,82.132.147.215,31506,27080,UDP,44.88,72,86093,1
19.165.151.236,198.87.167.73,16969,29122,ICMP,9.68,250,22126,1
43.76.77.42,235.6.184.210,4309,31887,ICMP,16.71,282,3412,0
11.55.139.34,53.221.240.216,32106,29350,TCP,40.29,98,78589,0
60.58.243.44,199.167.116.113,47858,1712,TCP,45.94,788,41708,0
240.192.73.17,68.123.255.69,11426,27912,ICMP,57.94,178,75805,0
81.147.179.189,88.89.132.211,58077,26591,ICMP,32.5,198,13286,0
58.226.6.120,42.8.183.20,52657,27973,TCP,27.2,819,81632,0
94.159.240.54,69.151.193.44,21865,58883,TCP,8.06,437,75930,0
214.61.219.177,142.40.203.86,46484,25023,TCP,41.76,95,49090,1
113.245.111.172,254.58.74.140,14898,54812,TCP,41.08,957,69166,1
205.109.110.105,195.107.224.210,25929,58931,TCP,29.31,821,30013,0
35.54.95.119,38.195.230.87,63893,49839,UDP,27.64,733,25116,0
125.28.20.249,171.8.238.166,5092,26242,ICMP,11.25,533,86415,1
48.50.188.145,64.128.80.117,37533,10615,TCP,58.46,432,11208,1
201.89.164.152,209.178.128.111,21466,10762,UDP,34.71,283,29960,0
30.13.175.75,203.142.224.216,33245,44266,UDP,50.72,933,95449,1
184.255.138.212,10.137.246.24,58706,11752,TCP,6.16,801,24568,0
226.233.17.222,210.176.243.192,20932,27459,TCP,50.2,583,87166,0
126.55.102.191,42.70.92.30,61395,46722,TCP,48.21,215,2535,1
213.212.165.141,121.128.44.190,2276,51291,ICMP,50.31,177,50692,1
194.164.27.121,88.225.84.28,24795,7074,UDP,47.89,306,69544,0
61.186.139.167,215.123.163.100,37913,23899,UDP,50.44,103,94452,1
52.33.64.209,208.19.164.222,37386,55977,TCP,5.88,456,77098,0
177.60.142.46,21.171.62.101,47709,33281,UDP,22.69,567,10156,0
252.161.66.144,24.58.49.53,58575,14169,TCP,44.65,852,19763,0
205.143.2.171,159.9.155.123,37762,48082,TCP,19.61,664,67088,0
28.108.185.132,136.103.191.160,21393,54588,UDP,0.36,234,53914,0
102.39.160.85,192.176.242.64,12338,60269,ICMP,52.18,727,31317,0
29.222.87.140,253.132.115.209,20126,1390,TCP,52.59,187,72512,0
197.243.20.172,165.202.255.251,52421,63650,UDP,34.22,263,17403,0
171.156.32.60,176.90.13.57,36964,46664,UDP,7.45,140,7104,0
53.180.79.218,231.191.181.159,58409,41511,TCP,53.69,227,40527,1
36.84.22.67,51.27.7.110,59967,3977,UDP,18.43,781,35367,1
53.68.230.123,13.26.51.144,41527,26202,UDP,25.16,397,38012,0
26.169.194.181,139.190.114.111,62662,16156,TCP,14.68,103,99225,0
223.22.247.132,50.119.68.21,1046,26633,TCP,58.76,792,1282,0
140.77.219.52,170.127.6.196,58709,4937,TCP,44.29,725,93579,0
225.183.172.249,160.240.5.237,65506,53248,ICMP,24.61,845,52199,1
253.149.139.116,75.187.140.110,32303,60973,TCP,28.42,724,19169,1
227.112.116.62,235.157.118.83,37757,46151,TCP,6.19,525,75752,1
88.150.219.101,100.129.129.236,62251,28148,ICMP,27.7,912,94527,1
113.114.199.241,204.241.173.118,48978,29010,TCP,7.0,818,25796,1
23.224.240.123,88.63.186.109,2853,27374,UDP,14.52,60,52794,0
113.56.8.92,176.208.199.28,60262,40184,TCP,56.21,680,98569,0
148.173.39.129,4.152.159.182,27548,24549,TCP,48.08,384,59915,1
104.99.120.2,3.224.91.71,6612,54579,ICMP,41.76,807,87372,0
245.162.76.182,129.216.16.218,6348,60889,ICMP,56.45,21,8915,1
70.153.209.228,12.139.237.148,18247,27814,ICMP,51.57,531,79220,1
255.66.154.173,53.137.200.85,367,59810,UDP,56.1,863,28240,0
183.22.117.233,103.149.108.76,41398,90,ICMP,53.44,951,84932,1
206.139.253.191,123.155.132.145,2327,54663,TCP,53.3,277,38781,0
220.182.65.221,224.79.131.185,28264,41028,ICMP,29.83,197,14849,0
209.208.86.76,3.255.108.148,25529,23900,UDP,27.45,39,25441,1
121.177.22.11,82.247.160.239,46762,27400,ICMP,27.54,518,5554,0
73.71.43.229,108.12.106.28,16578,50993,UDP,47.07,594,30290,0
157.198.17.137,170.58.163.97,36419,51098,ICMP,28.58,330,42964,0
123.20.144.192,247.41.195.21,60652,4103,ICMP,27.79,248,89928,1
156.23.239.125,36.135.149.207,1931,42334,TCP,10.12,153,35552,0
149.223.231.23,71.87.200.221,25700,54189,ICMP,17.42,7,79438,1
223.93.158.82,143.203.247.34,57919,47740,ICMP,37.11,673,88694,0
193.129.178.57,7.5.117.94,56325,30273,UDP,21.83,420,84571,1
200.253.76.143,105.202.236.87,219,59460,TCP,6.39,814,75837,0
224.13.186.107,14.230.239.69,14886,54846,UDP,3.03,83,32137,0
170.49.70.99,134.150.231.225,19248,21663,UDP,58.87,801,15093,1
217.77.139.29,132.241.9.43,33593,8989,UDP,52.44,341,62939,1
159.21.130.80,136.76.75.229,45852,49228,TCP,47.07,329,36168,1
58.122.137.15,146.13.111.155,34070,38266,UDP,7.36,570,91436,1
126.185.168.118,130.130.91.225,24082,24009,TCP,48.09,307,65874,0
26.50.44.133,233.69.255.62,29719,45370,TCP,24.79,285,86599,0
20.104.170.97,244.184.6.240,47724,30754,TCP,39.81,110,9104,1
140.147.36.66,243.115.225.58,10572,14206,TCP,29.01,170,88478,1
195.33.32.254,219.68.156.4,9018,45479,UDP,14.02,18,13156,0
202.131.84.103,149.155.112.62,9772,60694,UDP,50.71,336,90354,0
200.89.178.34,127.163.9.89,60393,51997,ICMP,34.3,716,32307,0
220.70.209.191,69.99.33.111,539,36776,UDP,26.49,417,3597,1
31.166.179.125,6.185.91.173,9790,46944,UDP,50.75,800,59496,1
162.180.67.225,191.37.61.151,9543,25789,TCP,5.8,45,36340,0
1.45.161.212,26.42.35.228,31790,44553,ICMP,6.0,546,96904,0
